类型,station_id,经度,纬度
关闭,MA59P1AN5_6540,113.407083,23.191008
关闭,MA59P1AN5_6545,113.322119,23.177696
关闭,MA59P1AN5_6591,113.632082,23.16258
关闭,MA59P1AN5_6536,113.244532,23.165751
关闭,MA59P1AN5_6592,113.234533,23.074604
关闭,MA59P1AN5_6622,113.421789,22.978201
关闭,MA59P1AN5_6523,113.37044,23.135821
关闭,MA59P1AN5_6526,113.423793,23.135949
关闭,MA59P1AN5_6570,113.371242,23.146295
关闭,MA59P1AN5_6471,113.257641,23.075556
关闭,MA59P1AN5_6515,113.817511,23.303424
关闭,MA59P1AN5_6612,113.2364,23.212804
关闭,MA59P1AN5_6606,113.398081,23.168706
关闭,231227827_883,113.802248,23.301009
关闭,MA9UTL161_6913,113.365824,23.081261
关闭,101437000_7985,113.283255,23.016617
关闭,MA2KF49M9_738836293_001,113.296095,23.321071
关闭,MA1MY0GF9_82660,113.524266,22.78847
关闭,101437000_18075,113.339269,22.950298
关闭,101437000_26395,113.309566,23.041282
关闭,101437000_32127,113.322586,23.207736
关闭,625911998_392617,113.204001,23.428655
关闭,618478196_392617,113.204335,23.429388
关闭,MA5G42R26_21605,113.300632,23.009586
关闭,MA5DT8Q54_4401060010,113.38304,23.135604
关闭,101437000_17521,113.365609,22.916005
关闭,101437000_23929,113.285441,23.359933
关闭,314930470_975,113.237603,23.166984
关闭,914401153_JT0132,113.333287,23.190963
关闭,101437000_2354,113.470178,22.963901
关闭,101437000_3248,113.330108,23.171291
关闭,MA5AMUDH9_88,113.237003,23.167491
关闭,914401153_JT0164,113.544613,23.109929
关闭,726811355_5775,113.474831,23.172247
关闭,554443284_5895,113.365201,23.080833
关闭,101437000_4770,113.587195,23.534088
关闭,ruyuexjpt_88,113.237003,23.167491
关闭,MA5AK2NB6_66,113.365201,23.080833
关闭,MA0019FW4_GZYY-GZTH-020-0032,113.386329,23.133538
关闭,349861452_GZYY-GZTH-020-0032,113.386329,23.133538
关闭,914401153_11530012,113.537507,23.103501
关闭,MA59P1AN5_6548,113.470178,22.963901
关闭,MA59P1AN5_6597,113.312648,23.075362
关闭,MA59P1AN5_6554,113.254271,23.429644
关闭,MA59P1AN5_6567,113.330108,23.171291
关闭,MA008CB97_20,113.337388,22.941348
关闭,MA5DT8Q54_4401140044,113.213189,23.388485
关闭,MA5DT8Q54_4401110266,113.297374,23.296173
关闭,MA1MY0GF9_37710,113.537477,23.103559
关闭,101437000_12679,113.273673,22.961002
关闭,101437000_13703,113.227824,23.417826
关闭,101437000_15085,113.393069,23.126798
关闭,101437000_15893,113.359017,23.170198
关闭,101437000_16469,113.29161,22.964633
关闭,101437000_17373,113.343847,22.916401
关闭,PENGHUI02_37,113.475014,23.171744
关闭,101437000_20207,113.312772,23.276144
