序号,经度,纬度,到最近现有站km,热点同址<1km
303,113.3685077,23.4746808,1.538,False
304,113.4318454,23.2437561,2.313,False
305,113.7122618,23.3128327,4.491,False
306,113.4560336,22.826624,2.066,False
307,113.4234524,23.4491744,1.15,False
308,113.8336534,23.421337,3.81,False
309,113.8816213,23.2024878,2.669,False
310,113.4835679,22.7865195,2.608,False
311,113.6385549,23.7192976,2.313,False
312,113.4229535,23.4441323,1.505,False
313,113.3111992,23.4901386,0.737,True
314,113.148627,23.3092945,4.451,False
315,113.4614096,22.818011,2.536,False
316,113.1085886,23.462846,3.563,False
317,113.77406,23.4064669,1.524,False
318,113.5986556,23.316106,0.219,True
319,113.4858143,22.8476401,1.117,False
320,113.4540192,23.4539121,2.325,False
321,113.1348141,23.3087654,4.02,False
322,113.4937674,23.1915062,1.194,False
323,113.6237026,22.6327196,2.499,False
324,113.4460517,22.8419225,0.138,True
325,113.5685031,22.6745116,1.753,False
326,113.6600116,23.3296974,3.669,False
327,113.3987819,23.6932363,0.739,True
328,113.2778981,23.4724727,1.732,False
329,113.1235913,23.46587,2.03,False
330,113.4241605,23.4489308,1.225,False
331,113.815373,23.2148302,1.251,False
332,113.4607463,22.8171056,2.655,False
333,113.5459488,23.4157797,4.32,False
334,113.4991572,22.6974931,2.144,False
335,113.4495254,23.6556758,3.928,False
336,113.4463155,23.6008105,0.385,True
337,113.4470741,22.841112,0.263,True
338,113.7269113,23.2781485,1.012,False
339,113.1422262,23.3079694,4.779,False
340,113.3378149,23.4577951,1.092,False
341,113.6626322,23.6561708,1.574,False
342,113.4458771,23.2541432,0.48,True
343,113.4691932,23.4342536,0.906,True
344,113.2861343,23.4768568,2.505,False
345,113.7862532,23.1479886,3.031,False
346,113.4799158,22.7789456,2.93,False
347,113.6055895,23.3267522,1.583,False
348,113.3018515,23.5482761,1.1,False
349,113.8499826,23.4240246,3.998,False
350,113.4319991,22.858896,1.138,False
351,113.3793498,23.7104088,3.188,False
352,113.1493026,23.4786943,0.207,True
353,113.6864572,23.3210393,4.816,False
354,113.4404788,23.4469585,2.246,False
355,113.5011293,22.7205547,1.022,False
356,113.7482802,23.3905219,4.696,False
357,113.3376556,23.4833591,0.696,True
358,113.4940319,23.2320799,2.237,False
359,113.8064462,23.215655,1.831,False
360,113.422109,22.8625905,0.164,True
361,113.4721476,23.4706386,2.249,False
362,113.6984499,23.1638024,0.694,True
363,113.4858023,22.8012154,2.958,False
364,113.4698565,23.5403924,5.236,False
365,113.3331456,23.4894096,0.217,True
366,113.4843833,23.2709289,3.741,False
367,113.7525134,23.2445911,2.741,False
368,113.1434688,23.3075377,4.889,False
369,113.1589229,23.4798928,0.383,True
370,113.4250133,22.8615923,0.382,True
371,113.2588656,23.5956484,2.022,False
372,113.3300817,23.459957,1.839,False
373,113.1168826,23.4639802,2.712,False
374,113.4646269,22.8134753,2.915,False
375,113.5178244,23.2773301,1.597,False
376,113.6869948,23.1782451,1.294,False
377,113.3040071,23.5580069,0.098,True
378,113.5920793,22.7076451,4.321,False
379,113.5541558,23.3879337,2.097,False
380,113.4479881,23.447674,1.837,False
381,113.7664474,23.2568215,2.256,False
382,113.5055602,23.2463909,2.373,False
383,113.1505305,23.4796666,0.317,True
384,113.4886292,23.2713502,3.333,False
385,113.572205,23.3813426,0.119,True
386,113.2726753,23.513473,0.418,True
387,113.3886132,23.4574519,2.617,False
388,113.5108306,22.7905798,0.81,True
389,113.1546544,23.4790746,0.55,True
390,113.4251037,23.2536121,2.467,False
391,113.4484643,23.6305423,1.163,False
392,113.272514,23.4848423,2.773,False
393,113.7718523,23.8361789,8.33,False
394,113.4643253,22.8133311,2.938,False
395,113.418442,23.4155335,0.789,True
396,113.8812346,23.2232414,0.688,True
397,113.0310008,23.412721,3.584,False
398,113.4492177,23.6821553,4.044,False
399,113.9374069,23.846524,3.664,False
400,113.477262,23.2170785,0.956,True
401,113.6894075,23.17861,1.208,False
402,113.4640912,22.8139067,2.881,False
403,113.8714993,23.8086148,2.335,False
404,113.7266761,23.7304776,1.077,False
405,113.4196329,23.4107616,0.492,True
406,113.3015782,23.5473811,1.202,False
407,113.4131709,22.8656332,0.962,True
408,113.8433736,23.4268944,4.393,False
409,113.405559,23.2686139,4.45,False
410,113.4847933,23.4185655,1.923,False
411,113.5692137,23.3835466,0.495,True
412,113.1618256,23.4799393,0.363,True
413,113.3022312,23.4757659,1.461,False
414,113.8918767,23.221026,1.795,False
415,113.4182411,22.8635746,0.43,True
416,113.4376574,23.6042815,0.643,True
417,113.7898975,23.1433898,3.555,False
418,113.4879121,22.761762,2.494,False
419,113.1631033,23.4800814,0.431,True
420,113.4573221,23.2411946,2.003,False
421,113.2994004,23.4697182,2.132,False
422,113.3883718,23.720297,3.831,False
423,113.4893945,22.8000963,2.624,False
424,113.8110464,23.213914,1.596,False
425,113.7041152,23.3169315,4.494,False
426,113.4551566,23.4109895,0.592,True
427,113.4171116,23.4151397,0.675,True
428,113.6979969,23.1832929,1.668,False
429,113.4277621,23.2523624,2.231,False
430,113.4643451,23.0378077,0.925,True
431,113.4042749,23.270508,4.238,False
432,113.3099199,23.4941876,1.206,False
433,113.154162,23.4792969,0.518,True
434,113.4794587,23.2102781,0.714,True
435,113.4595669,22.8215699,2.269,False
436,113.491231,22.7411027,0.303,True
437,113.868061,23.231892,0.992,True
438,113.2921321,23.5663958,1.432,False
439,113.5140516,23.1640903,0.694,True
440,113.3701764,23.4689721,1.96,False
441,113.8103018,23.4108896,1.866,False
442,113.4971487,23.2353544,2.699,False
443,113.466145,23.5885593,2.171,False
444,113.6913005,23.1611737,0.889,True
445,113.4036041,23.2710952,4.173,False
446,113.1720487,23.4794496,0.459,True
447,113.4880142,23.4167135,1.729,False
448,113.4606101,23.0266507,1.385,False
449,113.5090387,23.1460113,0.557,True
450,113.6658716,23.677368,0.653,True
451,113.4481823,23.6519331,3.5,False
452,113.5899321,23.3712334,1.972,False
453,113.2948807,23.5435034,0.735,True
454,113.3051567,23.4985323,1.841,False
455,113.4296737,23.2515845,2.069,False
456,113.3928131,23.7285884,4.669,False
457,113.4668724,22.8092773,3.269,False
458,113.5208981,23.1554862,0.247,True
459,113.0329994,23.3244041,1.585,False
460,113.4617136,23.0306619,1.064,False
461,113.4681956,22.7248395,1.688,False
462,113.5056264,23.1602444,0.291,True
463,113.9003062,23.4651138,0.371,True
464,113.4186857,23.4045078,0.254,True
465,113.7392339,23.2865988,0.617,True
466,113.4494377,23.6901773,4.245,False
467,113.4028652,23.2720736,4.067,False
468,113.4623467,23.5713674,2.963,False
469,113.8605444,23.2395129,1.943,False
470,113.269346,23.4832216,2.564,False
471,113.4100747,22.8666056,1.295,False
472,113.6571816,23.1761599,0.409,True
473,113.7779572,23.2073957,2.153,False
474,113.262915,23.4893425,2.452,False
475,113.4297386,23.4471353,1.816,False
476,113.507946,23.1478146,0.461,True
477,113.5930431,23.3124737,0.48,True
478,113.526107,22.7856917,0.23,True
479,113.6931763,23.194187,1.881,False
480,113.8293137,23.1989362,2.042,False
481,113.501288,23.146732,0.232,True
482,113.384254,22.8223687,1.44,False
483,113.5100317,23.1300098,0.2,True
484,113.7880349,23.2274033,1.679,False
485,113.5627752,22.6843341,2.362,False
486,113.4623783,23.5712947,2.965,False
487,113.4591258,22.8639209,1.299,False
488,113.5050268,22.7927203,1.092,False
489,113.4569432,23.027058,1.233,False
490,113.3113417,23.5150124,3.471,False
491,113.7490618,23.2813521,0.755,True
492,113.8363141,23.4195452,4.146,False
493,113.4999876,22.7940481,1.477,False
494,113.5490227,23.4031686,3.48,False
495,113.3863252,23.454044,2.396,False
496,113.4881079,23.1484287,0.709,True
497,113.685689,23.1945565,1.538,False
498,113.4571785,23.258326,0.852,True
499,113.4529488,23.6704064,4.499,False
500,113.1810543,23.4800235,0.955,True
501,113.4556798,23.0228433,1.687,False
502,113.420793,23.6252252,0.149,True
503,113.4483053,23.2419894,1.721,False
504,113.4497909,23.4463041,1.618,False
505,113.3285268,23.4608025,2.023,False
506,113.510008,23.1628617,0.259,True
507,113.4043425,23.2638212,4.213,False
508,113.4875443,23.1538075,0.199,True
509,113.1809233,23.4802937,0.982,True
510,113.784926,23.2341916,0.867,True
511,113.6650028,23.6784192,0.771,True
512,113.467586,22.7214117,2.005,False
513,113.894305,23.8217142,0.37,True
514,113.488318,23.1702841,0.828,True
515,113.6761998,23.1532145,2.522,False
516,113.3150764,23.5194661,3.963,False
517,113.383789,23.4257935,0.814,True
518,113.4515511,22.8344189,1.137,False
519,113.3699017,23.4570203,1.23,False
520,113.5965705,22.7036703,3.974,False
521,113.1938231,23.3394761,1.049,False
522,113.4818166,22.8748091,0.686,True
523,113.5231383,23.147385,0.537,True
524,113.3998551,23.2753339,3.73,False
525,113.6447584,23.1804542,1.177,False
526,113.4679801,22.8079061,3.283,False
527,113.3582975,23.5740803,5.903,False
528,113.4681062,23.0302165,1.593,False
529,113.4344704,23.4468528,2.264,False
530,113.4021813,22.8700709,1.62,False
531,113.315091,23.5208866,3.97,False
532,113.4479091,23.6422043,2.421,False
533,113.5184883,23.1479766,0.8,True
534,113.1662297,23.3061866,2.666,False
535,113.3209769,23.4579892,1.447,False
536,113.4182406,22.8815802,1.996,False
537,113.8724994,23.4307133,2.161,False
538,113.4360773,23.4687259,2.711,False
539,113.4637018,23.0344999,0.968,True
540,113.4874479,23.1736067,0.561,True
541,113.4404317,23.4471574,2.265,False
542,113.6361672,23.1757989,1.36,False
543,113.5057285,23.1190255,0.965,True
544,113.6105086,22.637317,1.138,False
545,113.3676165,23.4569318,1.124,False
546,113.4572048,23.2220595,2.008,False
547,113.497997,23.1479252,0.582,True
548,113.6534585,23.1836054,1.167,False
549,113.512241,22.7434064,1.955,False
550,113.1109316,23.3739359,1.524,False
551,113.4153634,23.3964664,0.635,True
552,113.4892325,23.1683601,0.907,True
553,113.4605695,23.0483497,0.386,True
554,113.1881532,23.4822761,0.899,True
555,113.3966476,23.2750583,3.815,False
556,113.4007679,22.8711861,1.447,False
557,113.7782304,23.2148222,2.807,False
558,113.4865615,23.1759601,0.504,True
559,113.4917283,23.1476857,0.824,True
560,113.8243455,23.2024977,2.122,False
561,113.5226325,23.1225833,0.251,True
562,113.9324536,23.8343583,2.724,False
563,113.5632947,23.389388,1.37,False
564,113.7412432,23.7571873,1.498,False
565,113.4751622,22.8846999,0.783,True
566,113.1410478,23.4770289,0.234,True
567,113.713454,23.1491485,1.816,False
